symbol,term,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing Cash Flow,Dividend,Financing Cash Flow,Price,Price_M1,Price_M2,Price_M3,name,name_kr,sector,industry,avg_volume
ASM,2019Q4,31.746,32.016,-0.27,4.13,-4.4,-31.461,-0.45,-0.677,-4.4,69.9802,9.625,1.477,5.592,22.771,49.8,72.571,3.583,9.562,3.045,9.086,18.648,53.923,3.723,5.507,-8.999,-3.734,,4.97,0.58,0.55,0.39,0.34,Avino Silver & Gold Mines Ltd,아비노 실버 & 골드 마인스,Basic Materials,Other Precious Metals & Mining,347500
ASMB,2019Q4,15.963,0.0,15.963,32.919,-102.713,-97.634,-3.7199999999999998,-103.954,-102.713,26.259,274.043,3.374,,282.78,57.127,339.907,3.186,24.44,9.082,42.25,66.69,273.217,-1.241,-84.067,-1.554,-50.318,,139.646,20.46,17.56,18.12,14.83,Assembly Biosciences Inc,어셈블리 바이오사이언시스,Healthcare,Biotechnology,425700
ASML,2019Q4,13238.4,7325.02,5913.38,582.96,3125.7,2903.38,7.35,3628.02,3125.7,420.8,5284.27,2633.46,4266.3,13586.8,11758.3,25345.2,0.0,5257.39,3481.3,5984.5,11241.9,14103.3,502.32,3669.57,-858.592,-1296.4,3.51,-1917.78,295.94,280.66,276.71,261.64,ASML Holding NV ADR,ASML 홀딩 ADR,Technology,Semiconductor Equipment & Materials,494400
ASND,2019Q4,14.98,,14.98,54.2897,-253.925,-244.178,-5.28,-246.434,-253.925,46.507,669.879,6.0626,0.0,684.507,73.4328,757.94,7.0,53.7488,34.0,35.4234,89.1721,668.768,7.4917,-197.048,-5.7781,-5.7781,,552.824,139.12,135.1,130.38,112.61,Ascendis Pharma A/S ADR,어센디스 파마 ADR,Healthcare,Biotechnology,144733
ASRT,2019Q4,229.505,86.113,143.392,95.132,-194.428,-217.201,-12.12,121.819,-194.428,18.2063,42.107,42.744,3.412,103.951,423.219,527.17,82.094,184.553,276.078,284.659,469.212,57.958,109.11,56.207,-1.4809999999999999,-1.4809999999999999,,-123.568,5.0,4.28,4.32,2.6,Assertio Holdings Inc,어셋티오 테라퓨틱스,Healthcare,Drug Manufacturers Specialty & Generic,384033
ASTE,2019Q4,1169.6,930.2,239.4,183.9,25.1,22.3,0.99,51.3,25.1,22.515,50.4,124.9,294.5,506.3,294.2,800.5,0.2,172.8,0.7000000000000001,25.3,198.1,602.4,26.2,112.6,-22.9,-21.6,0.44,-68.1,42.0,41.24,37.55,34.97,Astec Industries Inc,아스텍 인더스트리스,Industrials,Farm & Heavy Construction Machinery,163900
ASUR,2019Q4,73.15,29.836,43.314,41.535,-50.397,30.001,1.9300000000000002,4.29,-50.397,15.511,28.826,4.808,0.656,169.466,150.601,320.067,4.146,151.612,24.142,30.876,182.488,137.579,54.687,-4.117,-1.017,85.632,,-68.018,8.18,8.43,8.43,5.96,Asure Software Inc,어슈어 소프트웨어,Technology,Software Application,118333
ASX,2019Q4,13814.2,11664.0,2150.14,748.547,777.594,570.397,0.26,2464.88,777.595,2112.58,2148.39,2682.79,1132.86,6753.63,11876.4,18630.0,179.296,5158.82,5758.54,6356.44,11515.3,7114.76,1687.29,2417.36,-1884.36,-1824.78,0.16,-217.278,5.5600000000000005,4.74,4.6,3.74,ASE Technology Holding Co Ltd ADR,ASE 테크놀로지 홀딩 ADR,Technology,Semiconductors,378067
ASXC,2019Q4,8.531,20.731,-12.2,46.772,-154.575,-154.201,-8.7525,-54.041,-154.575,17.737,9.598,0.62,10.653,27.955,46.824,74.779,1.112,13.023,1.4,6.221,19.244,55.535,100.534,-73.484,15.528,67.645,,-5.609,1.47,1.3599999999999999,1.18,0.35000000000000003,Asensus Surgical Inc,에이센서스 서지컬,Healthcare,Medical Devices,165956
ATAX,2019Q4,62.318,4.4736,57.8445,15.5644,39.1137,27.6211,0.42,43.7645,39.1137,60.5518,43.186,7.4324,,58.6175,970.551,1029.17,161.0,9.0362,576.2,678.194,687.23,341.938,4.6508,17.9943,-0.1267,23.1929,1.5,-31.2698,7.7,8.02,6.98,5.24,America First Multifamily Investors Units,America First Multifamily Investors Units,Financial Services,Mortgage Finance,292667
ATCO,2019Q4,1131.5,229.8,901.7,33.1,687.0,368.0,1.74,955.1,687.0,214.499,230.2,18.7,14.2,280.7,7636.3,7917.0,363.7,769.5,2696.9,3914.8,4684.3,3232.7,268.1,783.0,-345.5,-475.6,0.5,-481.5,14.21,12.07,9.72,7.69,Atlas Corp,아틀라스,Financial Services,Asset Management,457633
ATEC,2019Q4,113.427,35.833,77.594,101.714,-47.276,-57.002,-1.1,-38.768,-47.276,52.234,47.113,16.15,34.854,108.318,61.63,169.948,0.489,36.39,53.448,89.927,126.317,43.631,8.508,-33.121,-13.032,-13.032,,64.183,7.1,6.96,5.85,3.45,Alphatec Holdings Inc,알파텍 홀딩스,Healthcare,Medical Devices,684433
ATEN,2019Q4,212.628,48.881,163.747,116.487,-17.094,-17.819,-0.24,-7.066,-17.094,76.08,129.922,53.566,22.384,220.939,53.114,274.053,5.109,97.581,28.046,67.685,165.266,108.787,10.028,-0.426,-4.34,-0.251,,5.798,6.87,6.8100000000000005,6.71,6.21,A10 Networks Inc,A10 네트웍스,Technology,Software Infrastructure,359400
ATEX,2019Q4,2.5380000000000003,2.641,-0.10300000000000001,28.637,-36.402,-35.461,-2.26,-33.272,-36.402,17.093,150.243,0.083,0.0,152.337,123.492,275.829,0.106,8.216,7.442,12.359,20.575,255.254,3.13,-26.584,-0.64,-2.253,,96.731,43.21,46.46,46.85,45.67,Anterix Inc,안테릭스,Communication Services,Telecom Services,106167
ATGE,2019Q4,1043.73,497.463,546.265,376.662,166.445,107.289,1.81,233.235,166.445,53.89,79.976,93.394,0.0,389.929,2000.68,2390.61,3.0,304.188,412.105,791.51,1095.7,1294.91,66.79,168.163,-39.406,-165.758,,-122.484,34.97,34.51,30.87,26.79,Adtalem Global Education Inc,애드탈렘 글로벌 에듀케이션,Consumer Defensive,Education & Training Services,860233
ATHM,2019Q4,1209.56,137.937,1071.63,490.004,464.793,459.646,3.91,464.793,464.793,118.582,1837.9,464.174,0.0,2349.73,401.833,2751.57,7.5772,569.666,3.3391,83.89,653.556,2098.01,17.036,415.032,-29.23,-167.811,,9.865,80.01,76.48,77.67,71.02,Autohome Inc ADR Class A,오토홈 ADR Class A,Communication Services,Internet Content & Information,626767
ATHX,2019Q4,5.633,0.0,5.633,11.378,-45.488,-44.582,-0.29,-44.79,-45.488,151.696,35.041,0.9450000000000001,,37.171,4.495,41.666,0.0,12.837,0.0,5.558,18.395,23.271,0.6980000000000001,-35.326,-0.579,-0.579,,19.887,1.23,1.3599999999999999,1.2,3.0,Athersys Inc,애더시스,Healthcare,Biotechnology,331167
ATI,2019Q4,4122.5,3484.5,638.0,267.2,366.3,252.5,2.05,517.4,366.3,125.8,490.8,554.1,1155.3,2303.0,3331.6,5634.6,11.5,849.2,1387.4,2592.2,3441.4,2193.2,151.1,230.1,-76.2,81.7,,-203.0,20.66,17.25,17.09,8.5,Allegheny Technologies Inc,앨러게니 테크놀러지스,Industrials,Metal Fabrication,2219230
ATKR,2019Q4,1911.96,1408.17,503.788,240.496,230.517,142.962,3.07,309.004,230.517,47.126,164.135,291.88,242.69,730.951,769.191,1500.14,13.0,280.01,845.243,948.001,1228.01,272.131,78.487,221.59,-37.714,-77.97,,-56.045,40.46,39.7,36.91,21.07,Atkore Inc,앳코어,Industrials,Electrical Equipment & Parts,281233
ATNX,2019Q4,101.229,69.619,31.61,66.749,-119.532,-123.749,-1.7000000000000002,-114.689,-119.532,74.054,160.813,16.689,32.63,230.926,79.006,309.932,0.88,71.528,52.366,62.549,134.077,175.855,4.843,-97.46,-13.572,7.499,,167.452,15.27,13.39,12.22,7.74,Athenex Inc,아테넥스,Healthcare,Drug Manufacturers Specialty & Generic,511133
ATO,2019Q4,2899.63,813.54,2086.09,923.261,762.375,532.568,4.47,1172.29,762.375,121.113,189.272,435.616,115.259,812.129,13576.0,14388.1,0.05,845.172,4324.28,7415.18,8260.35,6127.78,409.917,976.53,-1806.26,-1796.6,2.15,791.147,111.86,117.03,103.25,99.23,Atmos Energy Corp,애트모스 에너지,Utilities,Utilities Regulated Gas,734067
ATR,2019Q4,2859.73,1818.4,1041.33,454.617,371.693,242.202,3.81,566.245,371.693,63.574,241.97,558.428,375.795,1291.24,2270.88,3562.12,65.988,683.275,1085.45,1306.59,1989.87,1572.25,194.552,514.457,-237.975,-336.268,1.42,-197.135,115.62,115.51,101.07,99.54,Aptargroup Inc,아프타그룹,Consumer Cyclical,Packaging & Containers,239800
ATRC,2019Q4,230.807,60.472,170.335,167.143,-33.122,-35.194,-0.93,-24.303,-33.122,37.589,81.801,28.046,29.414,143.16,414.72,557.88,2.218,49.916,71.408,260.621,310.537,247.343,8.819,-15.811,-12.143,-2.147,,14.373,32.51,38.9,38.42,33.59,AtriCure Inc,아트리큐어,Healthcare,Medical Instruments & Supplies,458767
ATRO,2019Q4,772.702,616.56,156.142,143.358,1.701,52.017,1.55,34.75,1.701,32.028,31.906,147.998,145.787,343.081,439.635,782.716,0.224,120.64,188.0,273.219,393.859,388.857,33.049,42.689,-12.083,64.63,,-92.182,27.95,25.2,20.27,9.18,Astronics Corp,아스토닉스,Industrials,Aerospace & Defense,403700
ATRS,2019Q4,123.864,50.475,73.389,61.773,0.992,-2.027,0.0,3.549,0.992,162.574,45.721,35.074,16.0,108.446,24.305,132.751,1.249,32.415,40.395,45.836,78.251,54.5,2.557,-10.615,2.65,-19.995,,25.919,4.7,3.67,3.1,2.36,Antares Pharma Inc,안타레스 파마,Healthcare,Medical Instruments & Supplies,933867
ATSG,2019Q4,1452.18,155.033,1297.15,595.929,176.997,61.202,1.03,469.352,176.997,58.899,46.201,162.87,37.397,266.791,2553.39,2820.18,14.707,263.239,1469.68,2096.6,2359.84,460.342,292.355,396.938,-442.698,-467.058,,56.999,23.46,20.97,17.9,18.28,Air Transport Services Group Inc,에어 트랜스포트 서비스 그룹,Industrials,Integrated Freight & Logistics,278667
ATUS,2019Q4,9760.86,3300.53,6460.33,598.0,1823.81,138.936,0.21,4193.17,1823.81,660.384,702.16,457.118,,1381.36,32726.8,34108.1,170.682,1978.48,24249.6,29850.4,31828.9,2279.26,2369.36,2554.17,-1355.35,-1525.47,,-624.412,27.34,27.36,25.86,22.29,Altice USA Inc Class A,알티스 USA,Communication Services,Telecom Services,4363630
ATVI,2019Q4,6489.0,2094.0,4395.0,1658.0,1607.0,1503.0,1.96,2160.0,1607.0,767.0,5794.0,848.0,72.0,7292.0,12553.0,19845.0,63.0,2915.0,2675.0,4125.0,7040.0,12805.0,553.0,1831.0,-116.0,-22.0,0.37,-237.0,59.42,58.48,58.13,59.48,Activision Blizzard Inc,액티비전 블리자드,Communication Services,Electronic Gaming & Multimedia,6547300
AU,2019Q4,6265.95,4983.31,1282.78,258.115,93.0,129.992,0.19540000000000002,1879.78,93.0,415.0,497.009,188.248,629.487,1375.43,4881.0,6835.4,775.855,1431.2,1419.23,2478.0,4170.16,2629.34,1017.22,1530.72,-291.0,-1254.29,0.07,-83.7072,22.34,20.36,17.45,16.63,AngloGold Ashanti Ltd ADR,앵글로골드 아샨티 ADR,Basic Materials,Gold,3874000
AUB,2019Q4,832.147,161.46,670.687,396.249,255.917,193.528,2.4,,,80.201,436.032,,,13060.1,4502.91,17563.0,478.0,13741.2,1077.5,1308.65,15049.9,2513.1,32.077,194.799,-3.774,-425.401,0.96,405.435,37.55,33.69,29.74,21.9,Atlantic Union Bankshares Corp,애틀랜틱 유니온 뱅크셰어스,Financial Services,Banks Regional,324600
AUD,2019Q4,1489.93,1086.62,403.312,84.304,-280.751,-420.212,-3.15,-235.263,-280.751,136.967,20.393,378.912,,424.68,3219.0,3643.68,16.377,210.588,1697.11,2551.65,2762.23,881.443,45.488,132.188,-88.716,-90.516,0.22,-213.537,4.64,3.9699999999999998,3.47,1.71,Audacy Inc Class A,오대시 Class A,Communication Services,Broadcasting,759533
AUDC,2019Q4,200.287,105.329,94.958,63.313,-9.554,3.977,0.12,-7.431,-9.554,29.2519,71.189,33.127,28.275,132.591,111.733,244.324,2.473,86.66,1.2,65.19,151.85,92.474,2.123,23.169,-1.949,29.6,0.46,-14.499,25.69,21.44,22.41,23.89,AudioCodes Ltd,오디오코드,Technology,Communication Equipment,262333
AUMN,2019Q4,7.73,2.377,5.353,4.396,-5.048,-5.386,-0.06,-3.95,-5.048,101.058,4.593,0.448,0.231,6.195,7.162,13.357,0.11800000000000001,4.423,0.0,3.333,7.756,5.601,1.098,-4.395,3.106,3.219,,2.476,0.31,0.27,0.2,0.21,Golden Minerals Co,골든 미네랄스,Basic Materials,Other Precious Metals & Mining,125533
AUPH,2019Q4,0.318,0.0,0.318,22.338,-76.024,-88.385,-1.3,-74.853,-76.024,93.024,306.019,0.368,0.0,315.137,9.164,324.301,0.0,11.295,0.0,14.406,25.701,298.6,1.171,-63.585,-0.101,7.783,,243.854,20.26,18.3,17.5,14.51,Aurinia Pharmaceuticals Inc,오리니아 파마슈티컬스,Healthcare,Biotechnology,406600
AUTL,2019Q4,2.908,1.289,2.908,39.452,-146.064,-123.849,-2.88,-141.453,-146.064,43.066,211.43,30.524,,249.256,54.277,303.533,2.511,24.984,23.71,23.71,48.694,254.839,4.611,-101.484,-18.341,-18.668,,108.863,13.2,9.82,8.18,5.99,Autolus Therapeutics PLC ADR,오토러스 테라퓨틱스 ADR,Healthcare,Biotechnology,116167
AUY,2019Q4,1612.2,782.8,829.4,79.4,474.1,225.6,0.24,850.1,457.8,950.266,158.8,3.4,133.4,401.6,6715.6,7117.2,0.0,408.4,991.7,2488.9,2897.3,4219.9,392.3,521.8,-331.7,432.0,,-892.5,3.95,4.07,3.8200000000000003,2.75,Yamana Gold Inc,야마나 골드,Basic Materials,Gold,14122000
AVA,2019Q4,1345.62,263.906,1345.62,545.469,210.389,196.979,2.98,420.696,210.389,66.205,9.896,166.657,66.583,305.129,5777.33,6082.46,237.8,530.713,1895.31,3612.46,4143.17,1939.28,210.307,398.212,-442.51,-445.511,1.55,42.539,48.09,50.85,47.15,42.49,Avista Corp,아비스타,Utilities,Utilities Diversified,333900
AVAL,2019Q4,8508.73,2480.16,6028.56,5759.13,67.9541,910.322,0.62,,,1114.05,11769.3,,,67462.7,15549.5,83649.8,9877.89,62525.3,6575.48,11120.0,73645.3,10004.5,389.604,1690.5,-174.417,-919.058,0.36,-268.797,8.72,8.45,8.13,4.38,Grupo Aval Acciones y Valores SA ADR,그루포 아발 악시오네스 이 발로 ADR,Financial Services,Banks Regional,111867
AVAV,2019Q4,333.434,189.581,143.853,64.664,39.932,38.662,1.63,48.503,39.932,23.804,292.377,102.961,52.769,456.152,88.341,544.493,2.29,44.791,6.843,9.345,54.136,490.357,8.571,32.208,-11.53,-46.425,,-0.8190000000000001,61.74,66.61,51.39,60.96,AeroVironment Inc,에어로바이런먼트,Industrials,Aerospace & Defense,167767
AVB,2019Q4,2324.63,768.106,1556.52,58.042,627.722,785.974,5.64,1323.86,627.722,139.054,127.614,,,127.614,18868.5,19121.0,128.0,321.167,7296.29,7669.22,8130.85,10990.2,696.136,1321.8,-1191.38,-1193.87,6.08,-218.185,209.7,216.69,200.59,147.17,Avalonbay Communities Inc,아발론베이 커뮤니티,Real Estate,Reit Residential,749400
AVDL,2019Q4,59.215,12.125,47.09,30.183,-24.112,-33.226,-0.89,-21.626,-24.112,37.403,64.158,8.281,3.5700000000000003,82.38,69.056,151.436,0.645,35.984,121.686,144.651,180.635,-29.199,2.4859999999999998,-38.325,0.125,38.723,,-0.027,7.55,7.28,9.99,7.94,Avadel Pharmaceuticals PLC ADR,아바델 파마슈티컬스 ADR,Healthcare,Drug Manufacturers Specialty & Generic,265900
AVGO,2019Q4,22597.0,10114.0,12483.0,1709.0,3444.0,2695.0,6.77,9252.0,3444.0,398.0,5055.0,3259.0,874.0,9917.0,57576.0,67493.0,2787.0,6899.0,30011.0,35653.0,42552.0,24941.0,5808.0,9697.0,-344.0,-15422.0,11.2,6488.0,316.02,305.16,272.62,237.1,Broadcom Inc,브로드컴,Technology,Semiconductors,2147570
AVID,2019Q4,411.788,162.713,249.075,153.306,32.103,7.601,0.17,45.737,32.103,42.649,70.748,73.773,29.166,208.731,95.562,304.293,37.199,212.259,199.034,247.119,459.378,-155.085,13.634,19.641,-7.185,-7.185,,-7.644,8.58,8.4,7.39,6.73,Avid Technology Inc,애비드 테크놀로지,Communication Services,Electronic Gaming & Multimedia,455600
AVLR,2019Q4,382.421,115.299,267.122,240.552,-55.872,-50.214,-0.64,-40.065,-55.872,73.345,466.95,52.064,,566.803,240.464,807.267,9.0,271.727,58.0,71.818,343.545,463.722,15.807,22.15,-10.18,-40.629,,354.41,73.25,85.14,84.75,74.6,Avalara Inc,아발라라,Technology,Software Application,948167
AVNS,2019Q4,697.6,295.4,402.2,399.1,-55.7,-45.9,-0.97,-18.8,-55.7,47.6,205.3,163.8,145.9,538.5,1261.1,1799.6,15.0,212.5,248.1,321.9,534.4,1265.2,36.9,-74.5,-50.6,-108.1,,1.5,33.7,27.54,32.41,26.93,Avanos Medical Inc,아바노스 메디컬,Healthcare,Medical Devices,294800
AVNT,2019Q4,2862.7,2205.5,657.2,500.4,156.8,588.6,7.64,244.3,156.8,77.2,864.7,330.0,260.9,1513.3,1760.0,3273.3,18.4,702.5,1210.9,1518.1,2220.6,1052.7,87.5,300.8,-81.7,611.9,0.79,-218.3,36.79,33.18,24.76,18.97,Avient Corp,애비엔트,Basic Materials,Specialty Chemicals,426333
AVT,2019Q4,18544.5,16255.8,2288.77,1849.16,232.254,101.632,0.9500000000000001,638.268,232.255,100.431,488.81,2977.77,2908.57,6536.5,1988.61,8525.11,544.0,2745.25,1194.11,1822.53,4567.78,3957.33,406.014,948.052,-96.756,-125.807,0.8200000000000001,-807.776,42.44,36.49,30.68,25.1,Avnet Inc,에이브이넷,Technology,Electronics & Computer Distribution,807733
AVTR,2019Q4,6040.3,4119.6,1920.7,1368.9,551.8,-335.1,-0.87,984.2,551.8,401.2,186.7,988.8,711.2,2021.5,7751.8,9773.3,93.5,1074.5,5023.0,6236.6,7311.1,2462.2,432.4,354.0,-51.6,-42.1,,-307.8,18.15,18.47,15.75,12.49,Avantor Inc,어밴터,Basic Materials,Specialty Chemicals,3332230
AVY,2019Q4,7070.1,5166.0,1904.1,1080.4,770.5,303.6,3.59,949.5,770.5,84.0,253.7,1212.2,663.0,2340.6,3148.2,5488.8,482.0,2253.8,1499.3,2031.0,4284.8,1204.0,179.0,746.5,-249.4,-251.0,2.26,-470.3,130.82,131.24,114.49,101.87,Avery Dennison Corp,에이버리 데니슨,Industrials,Business Equipment & Supplies,484133
AVYA,2019Q4,2864.0,1302.0,1562.0,1027.0,-508.0,-734.0,-6.67,-50.0,-508.0,109.0,766.0,281.0,61.0,1642.0,5519.0,7161.0,51.0,1166.0,2877.0,4882.0,6048.0,1113.0,458.0,167.0,-118.0,166.0,,-314.0,13.5,12.77,12.96,8.09,Avaya Holdings Corp,어바이어 홀딩스,Technology,Software Application,1393930
AWH,2019Q4,4.538,3.343,1.195,15.455,-15.278,-15.237,-0.18,-14.945,-15.278,86.596,11.703,0.924,0.025,13.41,0.418,13.828,0.496,3.9779999999999998,1.099,1.112,5.09,8.738,0.333,-12.965,-0.133,-0.133,,15.441,0.81,0.78,0.79,0.8300000000000001,Aspira Women's Health Inc,아스피라 우먼 헬스,Healthcare,Diagnostics & Research,279400
AWI,2019Q4,1038.1,643.0,395.1,174.3,317.4,214.5,4.37,392.2,317.4,48.7,45.3,115.1,68.5,244.4,1248.9,1493.3,6.3,155.2,604.5,973.2,1128.4,364.9,74.8,182.7,-71.3,-89.1,0.72,-384.9,93.97,100.33,100.15,79.42,Armstrong World Industries Inc,암스트롱 월드 인더스트리스,Industrials,Building Products & Equipment,367067
AWK,2019Q4,3610.0,564.0,3610.0,1824.0,1214.0,621.0,3.43,1796.0,1214.0,181.0,91.0,294.0,44.0,1285.0,21294.0,22682.0,28.0,2045.0,8644.0,14516.0,16561.0,6121.0,582.0,1383.0,-1606.0,-1945.0,1.96,494.0,122.85,136.2,123.66,119.56,American Water Works Company Inc,아메리칸 워터 웍스,Utilities,Utilities Regulated Water,1150770
AWR,2019Q4,473.869,111.707,362.162,118.542,127.073,83.987,2.2800000000000002,162.786,127.073,36.814,1.334,52.301,6.429,122.456,1505.71,1641.33,5.344,115.998,480.996,923.803,1039.8,601.53,35.713,116.864,-151.771,-153.195,1.16,30.524,86.64,88.56,76.59,81.74,American States Water Co,아메리칸 스테이츠 워터,Utilities,Utilities Regulated Water,442267
AX,2019Q4,696.549,163.155,533.394,280.941,231.301,161.227,2.62,,,61.3156,1027.92,,,11453.2,816.075,12269.3,129.0,10276.9,268.432,525.932,11108.5,1160.75,-2.831,217.543,-15.183,-1041.74,,1593.83,30.28,28.17,24.91,18.13,Axos Financial Inc,액소스 파이낸셜,Financial Services,Banks Regional,334333
AXDX,2019Q4,9.297,4.897,4.4,51.886,-72.831,-84.305,-1.54,-60.687,-72.831,54.506,108.451,3.222,8.059,121.852,12.572,134.424,0.45,8.162,130.043,133.641,141.803,-7.379,12.144,-64.794,-0.33,52.811,,6.823,16.9,16.8,12.81,8.33,Accelerate Diagnostics Inc,엑셀러레이트 다이아그노스틱스,Healthcare,Diagnostics & Research,189933
AXGN,2019Q4,106.712,17.349,89.363,103.255,-31.406,-29.135,-0.74,-28.529,-31.406,39.235,102.51,16.944,13.861,135.021,19.622,154.643,1.736,20.88,1.595,1.6099999999999999,22.49,132.153,2.877,-19.872,-4.664,27.271,,4.031,17.89,12.36,12.38,10.4,AxoGen Inc,옥소젠,Healthcare,Medical Devices,349233
AXL,2019Q4,6530.9,5628.3,902.601,364.7,-301.6,-484.5,-4.33,235.3,-301.6,112.3,532.0,815.4,373.6,1857.8,4786.8,6644.6,28.7,1026.4,3612.3,4637.8,5664.2,980.4,536.9,559.6,-429.2,-306.6,,-200.0,10.76,9.24,6.33,3.61,American Axle & Manufacturing Holdings Inc,아메리칸 액슬 & 매뉴팩처링 홀딩스,Consumer Cyclical,Auto Parts,2987470
AXNX,2019Q4,13.82,6.49,7.33,67.748,-80.599,-79.935,-2.79,-78.535,-80.599,28.5673,183.674,7.879,15.659,211.68,8.142,219.822,0.602,12.033,20.336,24.786,36.819,183.003,2.064,-83.454,-1.339,45.287,,110.955,27.71,29.03,35.45,25.41,Axonics Inc,악소닉스,Healthcare,Medical Devices,334100
AXON,2019Q4,530.86,223.574,307.286,212.959,-6.3941,0.882,0.01,5.3279,-6.3941,59.19,350.784,146.878,38.845,609.475,236.164,845.639,4.0,195.566,7.0,106.578,302.144,543.495,11.722,65.673,-15.939,-240.737,,-3.9370000000000003,73.28,76.81,77.37,70.77,Axon Enterprise Inc,액손 엔터프라이스,Industrials,Aerospace & Defense,765967
AXP,2019Q4,47020.0,3464.0,43556.0,35127.0,8429.0,6631.0,8.01,,,828.0,24446.0,,,170864.0,27457.0,198321.0,22057.0,92467.0,57835.0,82783.0,175250.0,23071.0,1188.0,13632.0,-1645.0,-16707.0,1.6,-519.0,124.49,129.87,109.93,85.61,American Express Co,아메리칸 엑스프레스,Financial Services,Credit Services,2406470
AXS,2019Q4,5173.43,4069.38,1104.05,634.831,430.897,282.361,3.36,551.346,430.897,83.894,1576.46,8456.91,8456.92,10033.4,15459.6,25604.1,0.023100000000000002,17727.4,1841.14,2217.05,20060.0,5544.01,120.45,199.004,-63.106,-774.315,1.6099999999999999,277.51,59.44,64.25,56.12,38.65,AXIS Capital Holdings Ltd,액시스 캐피털 홀딩스,Financial Services,Insurance Property & Casualty,776267
AXTA,2019Q4,4482.2,2917.9,1564.3,822.1,488.2,249.0,1.07,850.0,488.2,233.9,1020.5,830.1,591.6,2573.4,4244.6,6818.0,43.9,1072.9,3790.2,4335.5,5408.4,1409.6,361.8,573.1,-112.5,-93.9,,-158.4,30.4,28.81,24.92,17.27,Axalta Coating Systems Ltd,엑솔타 코팅 시스템즈,Basic Materials,Specialty Chemicals,1549470
AXTI,2019Q4,83.256,58.431,24.825,19.305,-0.314,-2.6,-0.06,5.254,-0.314,39.487,36.319,19.031,49.152,113.205,110.144,223.349,5.747,27.526,2.6950000000000003,3.061,30.587,192.762,5.568,12.658,-21.792,-8.328,,6.186,4.35,3.9,3.48,3.21,AXT Inc,AXT,Technology,Semiconductor Equipment & Materials,188600
AY,2019Q4,1011.45,118.999,1011.45,32.246,500.449,62.135,0.62,500.449,500.449,101.063,781.372,317.568,20.268,1119.21,8540.61,9659.81,811.145,973.358,4764.99,6971.6,7944.96,1714.86,310.755,363.581,0.0,-118.211,1.57,-310.182,26.39,28.73,28.91,22.3,Atlantica Sustainable Infrastructure PLC,아틀란티카 서스테인너블 인프라스트럭처,Utilities,Utilities Renewable,313300
AYI,2019Q4,3574.8,2106.8,1468.0,1030.2,430.1,307.8,7.78,521.3,430.1,39.5,266.6,507.7,352.6,1206.4,2098.8,3305.2,9.2,572.6,347.1,745.3,1317.9,1987.3,91.2,492.5,-50.6,-356.8,0.52,-83.6,138.0,117.87,102.86,85.66,Acuity Brands Inc,어큐이티 브랜즈,Industrials,Electrical Equipment & Parts,348467
AYX,2019Q4,417.91,39.151,378.759,271.678,37.981,27.143,0.42,61.868,37.981,63.424,786.944,129.912,,971.985,370.353,1342.34,75.0,246.83,630.321,670.601,917.431,424.907,23.887,34.192,-11.453,-277.131,,563.846,100.07,139.47,139.62,95.17,Alteryx Inc Class A,알테릭스,Technology,Software Application,1799600
AZN,2019Q4,24384.0,4921.0,19463.0,12021.0,2924.0,1335.0,0.53,6686.0,2924.0,2602.0,6254.0,6046.0,3193.0,15563.0,45814.0,61377.0,1822.0,18117.0,15730.0,28664.0,46781.0,14596.0,3762.0,2969.0,-942.0,-657.0,1.4,-1765.0,49.86,48.7,43.8,44.66,AstraZeneca PLC ADR,아스트라제네카 ADR,Healthcare,Drug Manufacturers General,3862300
AZO,2019Q4,12015.0,5566.45,6448.59,4220.25,2228.34,1616.15,65.88,2614.09,2228.34,23.875,158.089,333.246,4463.12,5156.98,7543.48,12700.5,232.549,5868.24,5287.32,8608.31,14476.6,-1776.09,385.748,2126.43,-492.941,-490.658,,-1734.29,1191.31,1057.96,1032.51,846.0,Autozone Inc,오토존,Consumer Cyclical,Specialty Retail,235500
AZPN,2019Q4,608.279,60.594,547.685,184.098,276.72,257.394,3.64,288.544,276.72,68.114,80.486,53.236,,426.866,617.689,1044.56,45.163,142.251,299.965,510.126,652.377,392.178,11.824,237.423,-2.236,-82.553,,-129.008,120.93,118.98,106.51,95.07,Aspen Technology Inc,애스펜 테크놀로지,Technology,Software Application,563300
AZTA,2019Q4,365.311,217.802,147.509,169.133,-42.098,436.058,6.04,17.948,-42.098,72.972,346.552,165.176,105.181,663.469,895.489,1558.96,0.8270000000000001,282.952,49.918,117.311,400.263,1158.7,60.046,110.377,-29.915,623.139,0.4,-530.685,41.96,38.08,34.51,30.5,Azenta Inc,아젠타,Healthcare,Medical Instruments & Supplies,441667
AZUL,2019Q4,2899.48,1345.08,1554.41,112.53,-302.914,-608.942,2.26,-302.914,-302.914,113.652,475.895,349.841,66.1032,1048.75,3815.89,4864.64,121.943,1738.84,769.558,4017.57,5756.4,-891.759,1137.38,657.481,-346.799,-300.74,,-231.482,42.8,41.5,29.5,10.19,Azul SA ADR,아줄 ADR,Industrials,Airlines,590600
